title,min,max,center,mean,all_years,used_expressions,ignored_expressions
"GAG350: Der Bauernkrieg und die Revolution von 1525
",1524,1526,1525,1524,"[1525, 1524, 1524, 1526, 1525]","[""1525"", ""1524"", ""1524"", ""1526"", ""1525""]","[""jetzt""]"
"GAG349: Konstantin Phaulkon im Königreich Ayutthaya
",1600,1699,1649,1649,"[1600, 1699, 1600, 1699]","[""17. Jahrhundert"", ""17. Jahrhundert""]",[]
"GAG348: Der Anschlag auf die Mosel
",1875,1875,1875,1875,[1875],"[""11. Dezember 1875""]",[]
"GAG347: Adrianopel 378
",378,378,378,378,[378],"[""Jahr 378""]","[""heute""]"
"GAG346: Die längste Hängebrücke der Welt
",1800,1899,1849,1856,"[1800, 1899, 1869]","[""19. Jahrhundert"", ""1869""]",[]
"GAG345: Suffrajitsu
",1910,1910,1910,1910,[1910],"[""Jahr 1910""]",[]
"GAG344: Der Artischockenkrieg
",1935,2017,1976,1976,"[1935, 2017]","[""21. Dezember 1935"", ""2017""]",[]
"GAG343: Phoebus und die geplante Obsoleszenz
",1883,2014,1948,1940,"[1900, 1999, 1924, 1924, 2014, 1883]","[""20. Jahrhundert"", ""Jahres 1924"", ""Weihnachtsabend"", ""2014"", ""Jahr 1883""]",[]
"GAG342: Das Stockholmer Blutbad
",1520,1520,1520,1520,"[1520, 1520]","[""1520"", ""November 1520""]",[]
"GAG341: Der Exorzismus der Marthe Brossier
",1500,1599,1549,1549,"[1500, 1599]","[""16. Jahrhunderts""]",[]
"GAG340: Tauben, die Raketen steuern und Kybernetik
",1940,1949,1944,1944,"[1940, 1949]","[""den 1940er-Jahren""]",[]
"GAG339: Der Vocoder
",1940,1949,1944,1944,"[1940, 1949]","[""die 1940er Jahre""]",[]
"GAG338: Eine neue Gesellschaft – Frühsozialist Robert Owen
",1800,1899,1849,1849,"[1800, 1899]","[""19. Jahrhunderts""]",[]
"GAG337: Über Hummer, Kaviar und wie das Loch in den Donut kam
"
"GAG336: George Smith und die Entdeckung des Gilgamesch-Epos
",1872,1872,1872,1872,[1872],"[""Jahr 1872""]",[]
"GAG335: Aqua Tofana und die Giftmischerinnen des 17. Jahrhunderts
",1600,1699,1649,1649,"[1600, 1699, 1600, 1699]","[""17. Jahrhunderts"", ""17. Jahrhunderts""]","[""heute""]"
"GAG334: Rachel Carson und der stumme Frühling
",1872,1969,1920,1933,"[1872, 1960, 1969]","[""Frühling"", ""1960er-Jahre""]",[]
"GAG333: Alexandria
"
"GAG332: Wie Gregor MacGregor ein Land verkaufte, das es gar nicht gab
",1820,1829,1824,1824,"[1820, 1829]","[""den 1820er-Jahren""]",[]
"GAG331: Wie Tetris die Welt eroberte
",1900,1999,1949,1949,"[1900, 1999]","[""20. Jahrhunderts""]",[]
"GAG330: Zum Tode verurteilt – Catharina Linck alias Anastasius Lagrantinus Rosenstengel
",1700,1799,1749,1749,"[1700, 1799]","[""18. Jahrhundert""]",[]
"GAG329: Wie der Wolf zum Hund wurde
",1940,1940,1940,1940,[1940],"[""Jahr 1940""]","[""heute""]"
"GAG328: P. T. Barnum und die größte Show der Welt
",1800,1899,1849,1847,"[1800, 1899, 1842]","[""19. Jahrhunderts"", ""1842""]",[]
"GAG327: Das große Geburtenrennen von Toronto
",1926,1939,1932,1931,"[1926, 1930, 1939]","[""31. Oktober 1926"", ""die späten 30er-Jahre""]",[]
"GAG326: Ausgestorbene und außergewöhnliche Berufe
",1926,1926,1926,1926,[1926],"[""Weihnachten""]",[]
"GAG325: Der Große Smog von 1952
",1952,1952,1952,1952,"[1952, 1952, 1952]","[""1952"", ""Jahr 1952"", ""Jahr 1952""]",[]
"GAG324: Mit dem Ballon zum Nordpol – Andrées Polarexpedition von 1897
",1897,2022,1959,1932,"[1897, 1897, 1898, 1897, 1898, 2022, 1970, 1979]","[""1897"", ""Juli 1897"", ""nächsten Frühjahr"", ""Oktober 1897"", ""nächsten Jahr"", ""2022"", ""den 1970er Jahren""]","[""heute""]"
"GAG323: Die Republik Ezo und das Ende des Shogunats
",1800,1899,1849,1854,"[1800, 1899, 1864]","[""19. Jahrhundert"", ""Jahr 1864""]",[]
